field,edfi_entity,edfi_attribute
MV_CRED_2025SP,StudentCourseTranscript,AttemptedCredits
NL_CRED_2025SP,StudentCourseTranscript,AttemptedCredits
RL_CRED_2025SP,StudentCourseTranscript,AttemptedCredits
TOT_ENR_CRH,StudentCourseTranscript,TotalAttemptedCredits
TOT_CRH_AFTER_DROP,StudentCourseTranscript,FinalCreditsAttempted
2025SP_CE_COURSE_COUNT,StudentCourseTranscript,CourseRepeatCode
2018FA_DEV_CREDS,StudentCourseTranscript,DevelopmentalCourseCredits
2018FA_COLLEGE_CREDS,StudentCourseTranscript,EarnedCredits
2019SP_DEV_CREDS,StudentCourseTranscript,DevelopmentalCourseCredits
2019SP_COLLEGE_CREDS,StudentCourseTranscript,EarnedCredits
2019SU_DEV_CREDS,StudentCourseTranscript,DevelopmentalCourseCredits
2019SU_COLLEGE_CREDS,StudentCourseTranscript,EarnedCredits
2019FA_DEV_CREDS,StudentCourseTranscript,DevelopmentalCourseCredits
2019FA_COLLEGE_CREDS,StudentCourseTranscript,EarnedCredits
2020SP_DEV_CREDS,StudentCourseTranscript,DevelopmentalCourseCredits
2020SP_COLLEGE_CREDS,StudentCourseTranscript,EarnedCredits
2020SU_DEV_CREDS,StudentCourseTranscript,DevelopmentalCourseCredits
2020SU_COLLEGE_CREDS,StudentCourseTranscript,EarnedCredits
2020FA_DEV_CREDS,StudentCourseTranscript,DevelopmentalCourseCredits
2020FA_COLLEGE_CREDS,StudentCourseTranscript,EarnedCredits
2021SP_DEV_CREDS,StudentCourseTranscript,DevelopmentalCourseCredits
2021SP_COLLEGE_CREDS,StudentCourseTranscript,EarnedCredits
2021SU_DEV_CREDS,StudentCourseTranscript,DevelopmentalCourseCredits
2021SU_COLLEGE_CREDS,StudentCourseTranscript,EarnedCredits
2021FA_DEV_CREDS,StudentCourseTranscript,DevelopmentalCourseCredits
2021FA_COLLEGE_CREDS,StudentCourseTranscript,EarnedCredits
2022SP_DEV_CREDS,StudentCourseTranscript,DevelopmentalCourseCredits
2022SP_COLLEGE_CREDS,StudentAcademicRecord,EarnedCredits
2022SU_DEV_CREDS,StudentAcademicRecord,DevelopmentalCreditsEarned
2022SU_COLLEGE_CREDS,StudentAcademicRecord,EarnedCredits
2022FA_DEV_CREDS,StudentAcademicRecord,DevelopmentalCreditsEarned
2022FA_COLLEGE_CREDS,StudentAcademicRecord,EarnedCredits
2023SP_DEV_CREDS,StudentAcademicRecord,DevelopmentalCreditsEarned
2023SP_COLLEGE_CREDS,StudentAcademicRecord,EarnedCredits
2023SU_DEV_CREDS,StudentAcademicRecord,DevelopmentalCreditsEarned
2023SU_COLLEGE_CREDS,StudentAcademicRecord,EarnedCredits
2023FA_DEV_CREDS,StudentAcademicRecord,DevelopmentalCreditsEarned
2023FA_COLLEGE_CREDS,StudentAcademicRecord,EarnedCredits
2024SP_DEV_CREDS,StudentAcademicRecord,DevelopmentalCreditsEarned
2024SP_COLLEGE_CREDS,StudentAcademicRecord,EarnedCredits
2024SU_DEV_CREDS,StudentAcademicRecord,DevelopmentalCreditsEarned
2024SU_COLLEGE_CREDS,StudentAcademicRecord,EarnedCredits
2024FA_DEV_CREDS,StudentAcademicRecord,DevelopmentalCreditsEarned
2024FA_COLLEGE_CREDS,StudentAcademicRecord,EarnedCredits
CURRENT_ACAD_STANDING,StudentAcademicRecord,AcademicStatusType
AT_RISK_FLAG,Student,RiskStatus
CUMULATIVE_GPA1,StudentAcademicRecord,CumulativeGradePointAverage
CUMULATIVE_GPA1_CREDS,StudentAcademicRecord,TotalCreditsAttempted
CUMULATIVE_GPA2,StudentAcademicRecord,CumulativeGradePointAverage
CUMULATIVE_GPA2_CREDS,StudentAcademicRecord,TotalCreditsAttempted
RACE,Student,RaceDescriptor
ETHNICITY,Student,HispanicLatinoEthnicity
RACE/ETHNICITY,Student,
GENDER,Student,SexType
FIRST_NAME,Student,FirstName
LAST_NAME,Student,LastSurname
ADDRESS_LINE1,StudentAddress,StreetNumberName
ADDRESS_LINE2,StudentAddress,StreetAddressLine2
CITY,StudentAddress,City
STATE,StudentAddress,StateAbbreviation
ZIP,StudentAddress,PostalCode
PHONE_HOME,StudentTelephone,TelephoneNumber
PHONE_CELL,StudentTelephone,TelephoneNumber
EMAIL,StudentElectronicMail,ElectronicMailAddress
TITLE,StudentAcademicRecord,AcademicHonorTitle
PROGRAM_ID,Program,ProgramIdentificationCode
PRIMARY_PROGRAM_OF_STUDY,StudentAcademicRecord,PrimaryProgram
CIP,Program,CIPCode
PATHWAY_TITLE,Program,ProgramName
PATHWAY_PROGRAM_TITLE,Program,ProgramName
DUAL_CREDIT,StudentAcademicRecord,DualCreditIndicator
FIRST_GEN_COLLEGE_STU,Student,FirstGenerationCollegeStudentIndicator
RESIDENCY,StudentResidenceStatusDescriptor,
MATH_TSI_MET,StudentAssessment,AssessmentResult
READ_TSI_MET,StudentAssessment,AssessmentResult
WRITE_TSI_MET,StudentAssessment,AssessmentResult
MENINGITIS_STATUS,StudentHealthRecord,ImmunizationStatus
SRA_BESTLOC,School,SchoolId
SAP_STATUS,StudentAcademicRecord,AcademicStatusType
RISING_STAR,,
CORE_COMPLETE_TERM,StudentAcademicRecord,TermCompletionIndicator
LAST_UPDATED,,LastModifiedDate
