Field,Ed-Fi Entity,Ed-Fi Attribute,Description,Ed-Fi Notes,Sample Data,Format,Required Field,Logic,Remarks
PROGRESS_GRADE_1,grade,lettergradeearned,First reporting progress or midterm grade reported.,,A,Any kind of codes,,,
PROGRESS_GRADE_2,grade,lettergradeearned,Second reporting progress or midterm grade reported.,,A,,,,
SAC_GRADE,coursetranscript,finallettergradeearned,Final grade the student received.,,A,"SAC_GRADE GRADE_DESC
 A Excellent
 B Good
 B# Honors
 C Average
 CP Completed
 CR Credit (C Or Better)
 D Poor
 F Failing
 N Failing
 NC Not Completed
 NR Not Reported by Instructor
 W Withdrawn
 WQ Count in 6DROP
 WX Progress-Reenrollment Required",,,
GRADE_DESC,coursetranscript,custom: finalgradeearneddesc,"Description of the final grade (e.g., A = Excellent, F = Failing).",,Excellent,,,,
SAC_CURRENT_STATUS,studentsectionassociation,custom: currentenrollmentstatus,"Current enrollment status of the student (e.g., Enrolled, Dropped).",,R,"SAC_CURRENT_STATUS EXTERNAL_REPRESENTATION
 A Add
 C Cancelled
 D Dropped
 NC Noncourse Equivalency
 R New
 TR Transfer Equiv Eval
 W Withdrawn
 X Drop Before 1st Class Day",,,
EXTERNAL_REPRESENTATION,coursetranscript,coursetitle,"How the course or grade is displayed externally (e.g., on transcripts).",,New,,,,
SAC_CURRENT_STATUS_DATE,course,custom: currentstatusdate,Date when the current course status was last updated.,,8/20/2024 0:00,,,,
SECTION_CENSUS_DATE,studentsectionassociation,begindate,Official date used for enrollment reporting and funding (12th day),,9/9/2024 0:00,,,,
ON_TRANSCRIPT,studentsectionassociation,custom: showontranscript,Indicates if the course appears on the student’s official transcript.,,Y,,,,
SAC_SCHOOL_ID,school,schoolid,Identifier for the school or campus offering the course.,,EDU,,,,
SECTION_WEEKS,section,custom,Duration of the course in weeks.,,16,,,,
SECTION_ACAD_LEVEL,section,custom,"Academic level of the course (e.g., Undergraduate, Graduate).",,CR,,,,
SECTION_CRED_TYPE,section,custom,"Code representing the type of credit (e.g., Semester, Quarter).",,I,,,,
SECTION_CRED_TYPE_DESC,section,custom,Description of the type of credit.,,DCCCD College Level,,,,
CHECKTHENAME,custom,custom,Field used for name verification or system matching.,,EDUC-1300,,,,
CORE_STUDENT_ID,,,Core or central student ID used across systems.,,,,,,
SECTION_NAME,Section,sectionname,Official name or identifier of the course section.,,,,,,
SHORT_TITLE,Course,courseshortname,Abbreviated course title.,,,,,,
AREA,Course,department,Academic area or department offering the course.,,,,,,
CODE,Course,coursecode,"Course code (often subject + number, e.g., MATH101).",,,,,,
SUBJECT_ID,Course,academicsubject,"Identifier for the subject area (e.g., MATH, ENGL).",,,,,,
TERM_ID,session,termdescriptorid,Unique identifier for the academic term.,,,,,,
CREDITS,section,availablecredits,Number of academic credits assigned to the course.,,,,,,
dcccd id,student,dcccdid,Unique identifier assigned to a student within the Dallas County Community College District system.,A unique alphanumeric code assigned to a student.,1,String,Yes,,
DEGREE_TYPE,Diploma,DiplomaDescription,"Type of degree or credential awarded (e.g., Associate, Certificate).",The description of diploma given to the student for accomplishments.,AS,String,No,max length: 80,
PROGRAM,Program,ProgramName,Academic program or major the student completed.,"The formal name of the program of instruction, training, services, or benefits available through federal, state, or local agencies.",AS.SCIENCE,String,No,,
TITLE,Credential,CertificationTitle,Full title of the awarded degree or credential.,The title of the certification obtained by the educator.,Associate of Science,String,No,,
CIP,CTEProgramService,CIPCode,Classification of Instructional Programs (CIP) code for the program of study.,Number and description of the CIP code associated with the student's CTE program.,240.102,String (CIP format),No,,
TERM,StudentAcademicRecord,Term,Academic term in which the degree was awarded.,The term for the session during the school year.,2021SP,Descriptor,Yes,,
CRED_DESC,,Custom mapping,"Description of the type or level of credit (e.g., College Credit, Continuing Ed).",Type of credit earned,Associate of Science,Descriptor,No,,
DEGREE_DATE,Date,CredentialStatusDate,Official date when the degree or credential was awarded.,"The month, day, and year on which the credential status was effective.",5/13/2021 0:00,Date (YYYY-MM-DD),Yes,,
LOCATION_ID,EducationOrganization,EducationOrganizationId,Identifier of the college or campus where the degree was granted.,The identifier assigned to an education organization.,100,Integer,Yes,,There could be campus identifiers. Now they are one institution - Dallas College
DIPLOMA_NAME,,,Student’s name as it appears on the diploma.,"Name on diploma (no direct mapping, closest is preferred name)",First Last,String,Yes,,
CREDENTIAL_GPA,StudentAcademicRecord,GradePointAverage,GPA calculated specifically for the awarded credential or program.,The grade point average for an individual computed as the grade points earned divided by the number of credits attempted.,3.344,Decimal (0.00–4.00),Yes,,
STUDENT_ID,Student,StudentUniqueId,A unique identifier assigned to each student at Dallas College to track and manage their academic records across systems.,,1,,,,
Completed,CourseTranscript,EarnedCredits,Indicates whether a student has successfully completed a specific course or requirement as part of their academic program.,,42,,,,
Needed,,,Represents the courses or requirements still needed by the student to fulfill their degree or program requirements at Dallas College.,,0,,,,
Communication,section,AvailableCredits,"Refers to courses or requirements related to enhancing communication skills, such as writing, speech, and language courses.",,6,,,,
Mathematics,section,AvailableCredits,"Represents courses that fulfill the mathematics requirement, including algebra, calculus, statistics, and other math-related subjects.",,3,,,,
Life and Physical Sciences,section,AvailableCredits,"Includes courses in the natural sciences, such as biology, chemistry, physics, and related disciplines at Dallas College.",,8,,,,
Language Philosophy and Culture,section,AvailableCredits,"Refers to courses that focus on language, philosophy, and cultural studies, typically part of the humanities requirement.",,3,,,,
Creative Arts,section,AvailableCredits,"Courses related to creative fields, including music, visual arts, theater, and other artistic disciplines offered at Dallas College.",,3,,,,
American History,section,AvailableCredits,"Refers to courses that cover the history and development of the United States, including key events, movements, and figures.",,6,,,,
Government Political Science,section,AvailableCredits,"Includes courses on the study of government, political systems, public policy, and political theory, typically required for political science programs.",,6,,,,
Social and Behavioral Sciences,section,AvailableCredits,"Encompasses courses in fields such as sociology, psychology, economics, and anthropology, focusing on human behavior and societal issues.",,3,,,,
Component Area Option,section,AvailableCredits,"Elective courses that can fulfill the general education requirements at Dallas College, providing students flexibility in course selection.",,4,,,,
Core Complete,GraduationPlan,graduationPlanType,Indicates whether a student has completed all the core curriculum requirements required for their degree or program at Dallas College.,,Yes,,,"graduationPlanTypeDescriptor: Specifies the type of graduation plan (e.g., ""Core Curriculum"").",
STUDENT_ID,Student,StudentUniqueId,Unique identifier assigned to each student.,,1,,,,
ENROLLED_2018FA,rdhenrollments,ENROLLED_2018FA,Enrollment status for Fall 2018.,,,(Enrolled/Not Enrolled),,,
ENROLLED_2019SP,rdhenrollments,ENROLLED_2019SP,Enrollment status for Spring 2019.,,,,,,
ENROLLED_2019SU,rdhenrollments,ENROLLED_2019SU,Enrollment status for Summer 2019.,,,,,,
ENROLLED_2019FA,rdhenrollments,ENROLLED_2019FA,Enrollment status for Fall 2019.,,NOT ENROLLED,,,,
ENROLLED_2020SP,rdhenrollments,ENROLLED_2020SP,Enrollment status for Spring 2020.,,NOT ENROLLED,,,,
ENROLLED_2020SU,rdhenrollments,ENROLLED_2020SU,Enrollment status for Summer 2020.,,NOT ENROLLED,,,,
ENROLLED_2020FA,rdhenrollments,ENROLLED_2020FA,Enrollment status for Fall 2020.,,NOT ENROLLED,,,,
ENROLLED_2021SP,rdhenrollments,ENROLLED_2021SP,Enrollment status for Spring 2021.,,NOT ENROLLED,,,,
ENROLLED_2021SU,rdhenrollments,ENROLLED_2021SU,Enrollment status for Summer 2021.,,NOT ENROLLED,,,,
ENROLLED_2021FA,rdhenrollments,ENROLLED_2021FA,Enrollment status for Fall 2021.,,NOT ENROLLED,,,,
ENROLLED_2022SP,rdhenrollments,ENROLLED_2022SP,Enrollment status for Spring 2022.,,ENROLLED,,,,
ENROLLED_2022SU,rdhenrollments,ENROLLED_2022SU,Enrollment status for Summer 2022.,,NOT ENROLLED,,,,
ENROLLED_2022FA,rdhenrollments,ENROLLED_2022FA,Enrollment status for Fall 2022.,,NOT ENROLLED,,,,
ENROLLED_2023SP,rdhenrollments,ENROLLED_2023SP,Enrollment status for Spring 2023.,,NOT ENROLLED,,,,
ENROLLED_2023SU,rdhenrollments,ENROLLED_2023SU,Enrollment status for Summer 2023.,,NOT ENROLLED,,,,
ENROLLED_2023FA,rdhenrollments,ENROLLED_2023FA,Enrollment status for Fall 2023.,,ENROLLED,,,,
ENROLLED_2024SP,rdhenrollments,ENROLLED_2024SP,Enrollment status for Spring 2024.,,ENROLLED,,,,
ENROLLED_2024SU,rdhenrollments,ENROLLED_2024SU,Enrollment status for Summer 2024.,,NOT ENROLLED,,,,
ENROLLED_2024FA,rdhenrollments,ENROLLED_2024FA,Enrollment status for Fall 2024.,,NOT ENROLLED,,,,
ENROLLED_2025SP,rdhenrollments,ENROLLED_2025SP,Enrollment status for Spring 2025.,,NOT ENROLLED,,,,
DROPPED_ALL_DATE_2025SP,rdhenrollments,DROPPED_ALL_DATE_2025SP,Date student dropped all courses in Spring 2025.,,,,,,
MOST_RECENT_DROPPED_CREDIT_DATE,StudentSectionAssociation,endDate,Most recent date a student dropped a credit course.,,,,,,
AWARD_ID,diploma,DiplomaType,Identifier for an award or credential earned.,,NO PROM8 AWARD,,,,
MULTIPLE_COLLEGE_ATTENDING_FLAG,rdhstudentindicator,MULTIPLE_COLLEGE_ATTENDING_FLAG,Indicates if the student is attending multiple colleges/Campus,,,Y/N,,,
LOCATIONS,	StudentSchoolAssociation,location,Locations or campuses where the student is enrolled.,,,Numerical values,,,
EARLIEST_STATUS_DATE_2025SP,rdhenrollments,EARLIEST_STATUS_DATE_2025SP,Earliest status update date for Spring 2025.,,,"When they strted enrollment cycle, when they first show up",,,
DROPPED_CREDIT_AFTER_CENSUS_FLAG_2025SP,rdhenrollments,DROPPED_CREDIT_AFTER_CENSUS_FLAG_2025SP,Indicates if the student dropped credit hours after census in Spring 2025.,,,Have they dropped a course during the semester,,,
TAKING_DEV_CREDS_2025SP,rdhenrollments,TAKING_DEV_CREDS_2025SP,Indicates if the student is taking developmental credits in Spring 2025.,,N,Math or english develomental courses,,,
BH_CRED_2025SP,rdhenrollments,BH_CRED_2025SP,Credit hours taken at BH campus in Spring 2025.,,,Credit hours,,,
CV_CRED_2025SP,rdhenrollments,CV_CRED_2025SP,Credit hours taken at CV campus in Spring 2025.,,,,,,
EF_CRED_2025SP,rdhenrollments,EF_CRED_2025SP,Credit hours taken at EF campus in Spring 2025.,,,,,,
EC_CRED_2025SP,rdhenrollments,EC_CRED_2025SP,Credit hours taken at EC campus in Spring 2025.,,,,,,
MV_CRED_2025SP,rdhenrollments,MV_CRED_2025SP,Credit hours taken at MV campus in Spring 2025.,,,,,,
NL_CRED_2025SP,rdhenrollments,NL_CRED_2025SP,Credit hours taken at NL campus in Spring 2025.,,,,,,
RL_CRED_2025SP,rdhenrollments,RL_CRED_2025SP,Credit hours taken at RL campus in Spring 2025.,,,,,,
TOT_ENR_CRH,rdhenrollments,TOT_ENR_CRH,Total enrolled credit hours (Current terms).,,,,,,
TOT_CRH_AFTER_DROP,rdhenrollments,TOT_CRH_AFTER_DROP,Total credit hours after drops (Current terms).,,,"Carrying forward after dropping the course, credit hours accumulation after drop",,,
2025SP_CE_COURSE_COUNT,rdhenrollments,2025SP_CE_COURSE_COUNT,Number of Continuing Education (CE) courses taken in Spring 2025.,,,Number - (1 to 4),,,
2018FA_DEV_CREDS,rdhenrollments,2018FA_DEV_CREDS,Developmental credits earned in Fall 2018.,,,,,,
2018FA_COLLEGE_CREDS,rdhenrollments,2018FA_COLLEGE_CREDS,College-level credits earned in Fall 2018.,,,,,,
2019SP_DEV_CREDS,rdhenrollments,2019SP_DEV_CREDS,Developmental credits earned in Spring 2019.,,,,,,
2019SP_COLLEGE_CREDS,rdhenrollments,2019SP_COLLEGE_CREDS,College-level credits earned in Spring 2019.,,,,,,
2019SU_DEV_CREDS,rdhenrollments,2019SU_DEV_CREDS,Developmental credits earned in Summer 2019.,,,,,,
2019SU_COLLEGE_CREDS,rdhenrollments,2019SU_COLLEGE_CREDS,College-level credits earned in Summer 2019.,,,,,,
2019FA_DEV_CREDS,rdhenrollments,2019FA_DEV_CREDS,Developmental credits earned in Fall 2019.,,,,,,
2019FA_COLLEGE_CREDS,rdhenrollments,2019FA_COLLEGE_CREDS,College-level credits earned in Fall 2019.,,,,,,
2020SP_DEV_CREDS,rdhenrollments,2020SP_DEV_CREDS,Developmental credits earned in Spring 2020.,,,,,,
2020SP_COLLEGE_CREDS,rdhenrollments,2020SP_COLLEGE_CREDS,College-level credits earned in Spring 2020.,,,,,,
2020SU_DEV_CREDS,rdhenrollments,2020SU_DEV_CREDS,Developmental credits earned in Summer 2020.,,,,,,
2020SU_COLLEGE_CREDS,rdhenrollments,2020SU_COLLEGE_CREDS,College-level credits earned in Summer 2020.,,,,,,
2020FA_DEV_CREDS,rdhenrollments,2020FA_DEV_CREDS,Developmental credits earned in Fall 2020.,,,,,,
2020FA_COLLEGE_CREDS,rdhenrollments,2020FA_COLLEGE_CREDS,College-level credits earned in Fall 2020.,,,,,,
2021SP_DEV_CREDS,rdhenrollments,2021SP_DEV_CREDS,Developmental credits earned in Spring 2021.,,,,,,
2021SP_COLLEGE_CREDS,rdhenrollments,2021SP_COLLEGE_CREDS,College-level credits earned in Spring 2021.,,,,,,
2021SU_DEV_CREDS,rdhenrollments,2021SU_DEV_CREDS,Developmental credits earned in Summer 2021.,,,,,,
2021SU_COLLEGE_CREDS,rdhenrollments,2021SU_COLLEGE_CREDS,College-level credits earned in Summer 2021.,,,,,,
2021FA_DEV_CREDS,rdhenrollments,2021FA_DEV_CREDS,Developmental credits earned in Fall 2021.,,,,,,
2021FA_COLLEGE_CREDS,rdhenrollments,2021FA_COLLEGE_CREDS,College-level credits earned in Fall 2021.,,,,,,
2022SP_DEV_CREDS,rdhenrollments,2022SP_DEV_CREDS,Developmental credits earned in Spring 2022.,,,,,,
2022SP_COLLEGE_CREDS,rdhenrollments,2022SP_COLLEGE_CREDS,College-level credits earned in Spring 2022.,,7,,,,
2022SU_DEV_CREDS,rdhenrollments,2022SU_DEV_CREDS,Developmental credits earned in Summer 2022.,,,,,,
2022SU_COLLEGE_CREDS,rdhenrollments,2022SU_COLLEGE_CREDS,College-level credits earned in Summer 2022.,,,,,,
2022FA_DEV_CREDS,rdhenrollments,2022FA_DEV_CREDS,Developmental credits earned in Fall 2022.,,,,,,
2022FA_COLLEGE_CREDS,rdhenrollments,2022FA_COLLEGE_CREDS,College-level credits earned in Fall 2022.,,,,,,
2023SP_DEV_CREDS,rdhenrollments,2023SP_DEV_CREDS,Developmental credits earned in Spring 2023.,,,,,,
2023SP_COLLEGE_CREDS,rdhenrollments,2023SP_COLLEGE_CREDS,College-level credits earned in Spring 2023.,,,,,,
2023SU_DEV_CREDS,rdhenrollments,2023SU_DEV_CREDS,Developmental credits earned in Summer 2023.,,,,,,
2023SU_COLLEGE_CREDS,rdhenrollments,2023SU_COLLEGE_CREDS,College-level credits earned in Summer 2023.,,,,,,
2023FA_DEV_CREDS,rdhenrollments,2023FA_DEV_CREDS,Developmental credits earned in Fall 2023.,,,,,,
2023FA_COLLEGE_CREDS,rdhenrollments,2023FA_COLLEGE_CREDS,College-level credits earned in Fall 2023.,,9,,,,
2024SP_DEV_CREDS,rdhenrollments,2024SP_DEV_CREDS,Developmental credits earned in Spring 2024.,,,,,,
2024SP_COLLEGE_CREDS,rdhenrollments,2024SP_COLLEGE_CREDS,College-level credits earned in Spring 2024.,,6,,,,
2024SU_DEV_CREDS,rdhenrollments,2024SU_DEV_CREDS,Developmental credits earned in Summer 2024.,,,,,,
2024SU_COLLEGE_CREDS,rdhenrollments,2024SU_COLLEGE_CREDS,College-level credits earned in Summer 2024.,,,,,,
2024FA_DEV_CREDS,rdhenrollments,2024FA_DEV_CREDS,Developmental credits earned in Fall 2024.,,,,,,
2024FA_COLLEGE_CREDS,rdhenrollments,2024FA_COLLEGE_CREDS,College-level credits earned in Fall 2024.,,,,,,
CURRENT_ACAD_STANDING,studentacademicrecord,currentacademicstanding,"Student’s current academic standing (e.g., Good, Probation).",,GOOD,"Probation 1, Probation 2..... etc",,,
AT_RISK_FLAG,rdhstudentindicator,atriskflag,Indicates if the student is flagged as academically at risk.,,NO,,,,
CUMULATIVE_GPA1,rdhenrollments,CUMULATIVE_GPA1,"Cumulative GPA in including develomental education courses (Math, english)",,2.52,,,,
CUMULATIVE_GPA1_CREDS,rdhenrollments,CUMULATIVE_GPA1_CREDS,Total credits used in GPA1 calculation.,,25,,,,
CUMULATIVE_GPA2,rdhenrollments,CUMULATIVE_GPA2,"Cumulative GPA ( Doesn't include develomental education courses (Math, english)",,2.52,,,,
CUMULATIVE_GPA2_CREDS,rdhenrollments,CUMULATIVE_GPA2_CREDS,Total credits used in GPA2 calculation.,,25,,,,
RACE,studenteducationorganization,race,Student's reported race.,,Black/African American,,,,
ETHNICITY,studenteducationorganization,ETHNICITY,Student's reported ethnicity.,,Not Hispanic,,,,
RACE/ETHNICITY,studenteducationorganization,RACE/ETHNICITY,Combined race/ethnicity category.,,Black/African American,,,,
GENDER,studenteducationorganization,SexDescriptor,Student's gender.,,F,,,,
FIRST_NAME,student,firstname,Student's first name.,,First1,,,,
LAST_NAME,student,lastsurname,Student's last name.,,Last1,,,,
ADDRESS_LINE1,studenteducationorganization,addressline1,First line of the student’s mailing address.,,Address 1,,,,
ADDRESS_LINE2,studenteducationorganization,addressline2,Second line of the student’s mailing address (if any).,,,,,,
CITY,studenteducationorganization,city,City of the student’s address.,,Dallas,,,,
STATE,studenteducationorganization,state,State of the student’s address.,,TX,,,,
ZIP,studenteducationorganization,zip,ZIP code of the student’s address.,,75999,,,,
PHONE_HOME,studenteducationorganization,phonehome,Student’s home phone number.,,555-111-2222,,,,
PHONE_CELL,studenteducationorganization,phonecell,Student’s cell phone number.,,555-111-2222,,,,
EMAIL,student,email,Student’s email address.,,1@student.dcccd.edu,,,,
TITLE,diploma,diplomaTitle,"Title of the academic credential (e.g., Associate of Arts).",,Associate of Arts,,,,
PROGRAM_ID,StudentProgramAssociation,programname,Unique identifier for the academic program.,,AA.ARTS,,,,
PRIMARY_PROGRAM_OF_STUDY,studentcteprogramassociationcteprogram,primarycteprogramindicator,Indicates the student’s primary program of study.,,Y,,,,
CIP,studentcteprogramassociationcteprogram,cipcode,Classification of Instructional Programs (CIP) code.,,240.102,,,,
PATHWAY_TITLE,studentcteprogramassociationcteprogram,pathwaytitle,Title of the academic pathway.,,Education,"7 pathways in Dallas College, Student pick one of those pathways",,,
PATHWAY_PROGRAM_TITLE,studentcteprogramassociationcteprogram,pathwayprogramtitle,Full title of the program within the pathway.,,,"STEM, business, healthcare, primary pathway programs, align of degree program",,,
DUAL_CREDIT,StudentEducationOrganizationAssociation,dualcredit,Indicates if the student participated in dual credit courses.,,PREVIOUSLY DC,,,,
FIRST_GEN_COLLEGE_STU,StudentEducationOrganizationAssociation,firstgencollegestu,Indicates if the student is a first-generation college student.,,DO NOT KNOW,,,,
RESIDENCY,StudentEducationOrganizationAssociation,residency,"Residency classification (e.g., In-District, Out-of-District, Out of state)",,In District,Depends on promise eligibility,,,
MATH_TSI_MET,StudentAssessment,AssessmentIdentifier,Indicates if student met Math TSI requirement.,,MET,,,,
READ_TSI_MET,StudentAssessment,AssessmentIdentifier,Indicates if student met Reading TSI requirement.,,MET,,,,
WRITE_TSI_MET,StudentAssessment,AssessmentIdentifier,Indicates if student met Writing TSI requirement.,,MET,,,,
MENINGITIS_STATUS,studenthealth,immunizationtype,Status of the student’s meningitis vaccination.,,Not Met Meningitis Vaccine Req,,,,
SRA_BESTLOC,studentschoolassociation,srabestloc,Best location/campus determined for student services.,,600,"Primary Campus say, Cedar valley)",,,
SAP_STATUS,StudentEducationOrganizationAssociation,sapstatus,Satisfactory Academic Progress (SAP) status.,,OK,,,,
RISING_STAR,StudentProgramAssociation,programname,Indicates if the student is part of the Rising Star program.,,,"Promise was derived from this, Rising star scholarship",,,
CORE_COMPLETE_TERM,StudentProgramAssociation,corecompeleteterm,Term when student completed the core curriculum.,,,What term did they complete,,,
SAC_PERSON_ID,StudentEducationOrganizationAssociation,StudentIdentificationCode,,"A coding scheme that is used for identification and record-keeping purposes by schools, social services, or other agencies to refer to a student.",1,Dallas college id - Always the same id,,,
Prog1,StudentProgramAssociation,ProgramEvaluationStatusDescriptor,"The primary program or academic track a student is enrolled in at Dallas College, representing their main field of study or focus.",,On Track,"On Track, Off Track based on the grade (D or F, U, S )
 Satisfactory, Unsatifactory",,Custom entity not standard EdFi entity,
Prog2,StudentProgramAssociation,SecondaryProgramDescriptor,"The secondary program or academic track a student may be enrolled in, indicating a dual focus or an additional area of study.",,N/A,When no grade value -> N/A,,Custom entity not standard EdFi entity,
FinalD,StudentAcademicRecord,AcademicProgressDescriptor,"The final decision or status regarding a student's academic progression, such as graduation eligibility, program completion, or other key milestones",,On Track,,,Custom entity not standard EdFi entity,
CourseE,StudentSectionAssociation,courseStatusDescriptor,"The courses or educational components a student is enrolled in, indicating the specific subjects or classes they are taking within their program at Dallas College.",,On Track,,,Custom entity not standard EdFi entity,
EID,Student,StudentIdentificationCode,Unique identifier assigned to each student in the education system.,,EID2025-440224-1,,,,
High_School,School,NameOfInstitution,Name of the high school the student is currently attending or graduated from.,,Early College High School,,,,
TEA_ID,EducationOrganizationIdentificationCode,IdentificationCode,,,57903010,,,,
CEEB,EducationOrganizationIdentificationCode,CEEBCode,College Entrance Examination Board code used to identify high schools.,,440224,,,custom field,
Student_ID,StudentEducationOrganizationAssociation,StudentIdentificationCode,Internal student identifier used by the high school or district.,,1,,,,
TSDS_ID,Student,StudentUniqueId,Texas Student Data System unique identifier for the student.,,1,,,,
First_Name,Student,FirstName,Student’s first name.,,First,,,,
Middle_Name,Student,MiddleName,Student’s middle name (if provided).,,Middle,,,,
Last_Name,Student,LastSurname,Student’s last name.,,Last,,,,
Birthdate,Student,BirthDate,Student’s date of birth.,,38360,,,,
Graduation_Year,StudentAcademicRecord,ProjectedGraduationDate,Expected or actual year of high school graduation.,,2025,,,,
DCCCD_ID,StudentEducationOrganizationAssociation,StudentIdentificationCode,,,0,,,,
Entry_Date,StudentSchoolAssociation,EntryDate,Date the student entered the Dallas College system or course.,,45516,,,,
GPA,StudentAcademicRecord,GradePointAverageValue,Student’s Grade Point Average.,,2.87,,,,
GPA_Scale,StudentAcademicRecord,GradePointAverageValue,"The scale used for calculating GPA (e.g., 4.0, 5.0).",,4,,,,
FLS,LimitedEnglishProficiencyDescriptor,LimitedEnglishProficiencyDescriptor,Foreign Language Status (may indicate if student is classified as an ELL).,,FALSE,,,Use “English learner” or “Not an English learner”,
Early_Grad,StudentAcademicRecord,EarlyGraduationIndicator,Flag indicating if the student graduated earlier than expected.,,FALSE,,,Custom entity,
PTEC,StudentProgramAssociation,ProgramName,Pathways to Technology Early College High School flag.,,FALSE,,,,
SeniorFlag,StudentEducationOrganizationAssociation,,Flag indicating if the student is in their senior (12th grade) year.,,FALSE,,,,
EarlyCollegeHighSchoolFlag,StudentProgramAssociation,ProgramName,Flag indicating enrollment in an Early College High School program.,,FALSE,,,,
EcoDisFlag,StudentEducationOrganizationAssociation,EconomicDisadvantaged,Economically Disadvantaged flag—indicates if student qualifies for economic aid.,,TRUE,,,,
SpedFlag,StudentSpecialEducationProgramAssociation,SpecialEducationParticipationDescriptor,Special Education flag—indicates student receives SPED services.,,FALSE,,,custom entity,
PreassessmentComplete,StudentAssementCollegeReadinessPreAssessmentComplete,,Indicates whether the student completed the required college readiness pre-assessment.,,FALSE,,,custom entity,
PID,Student,StudentUniqueId,A unique identifier for a person or student,,1,Person ID/Similar to Student ID,,,
I,Custom,,"Likely represents an indicator or status code, such as enrollment status or program participation.",,0,"Type of course 
Developmental - 0 
Regular,
Transfer
 Both",,,
ID,Custom,,"A general identifier for the student, potentially used in various contexts like registration or course management.",,1,,,,
CreditType,Custom,,"Specifies the type of credit earned or required for a course or program (eg: 
- Developmental: Credits earned through courses aimed at developing foundational academic skills.
- Regular: Credits earned through standard, degree-eligible academic courses.
- Transfer: Credits transferred from another institution that count toward degree completion at the current institution.
- Both: A combination of developmental and regular credits earned by the student.)",,Developmental,,,,
PERSON_ID,Student,StudentUniqueId,A unique identifier assigned to each student at Dallas College,,1,,,,
TRANSCRIPT_STATUS,StudentAcademicRecord,Custom,"Represents the current status of a student's transcript at Dallas College, reflecting the academic record's current state.",,OFFI,"OFFI(Official), NR (Not Reported)",,,
TRANSCRIPT_DATE,StudentAcademicRecord,LastModifiedDate,The date on which the transcript was issued or last updated by Dallas College,,7/17/2020 0:00,,,,
COMMENTS,StudentAcademicRecord,Custom,"Any relevant remarks or additional notes regarding the student's academic progress or record, feedback, or status updates from Dallas College.",,,,,,
id,Student,StudentUniqueId,A unique identifier assigned to each student.,,2,,,,
last_name,Student,Surname,The student's last name.,,Last2,,,,
first_name,Student,FirstName,The student's first name.,,First2,,,,
home_campus,"Education, school","school_id, school_name,category",The identifier for the student's home campus (school) where they are primarily enrolled.,,THOMAS C MARSH MIDDLE,,,,
choice_campus,"Education, school","school_id, school_name,category","The identifier for the campus (school) the student has chosen, if applicable (e.g., for magnet programs or transfers).",,THOMAS C MARSH MIDDLE,,,,
grade_level,StudentSchoolAssociation,EntryGradeLevelDescriptor,"The academic grade level the student is currently in (e.g., 9th grade, 10th grade).",,7,,,,
cte_sis,CTEProgramService,CIPCode,A unique identifier for the student's enrollment in Career and Technical Education (CTE) within the Student Information System (SIS).,,0,,,,
cte_actual,CTEProgramService,CTEProgramService,Indicates the actual CTE program the student is enrolled in.,,5,,,,
cte_actual_reason,NA,NA,The reason or justification for the student's enrollment in the CTE program.,,-,,,,
cte_intent,CTEProgramService,CTEProgramService,The intended CTE program the student is planning to enroll in.,,5,,,,
cte_intent_reason,NA,na,The reason or justification for the student's intention to enroll in a specific CTE program.,,-,,,,
